date,datetime,cash_type,money,coffee_name
08-02-2025,08-02-2025 14:26,cash,15,Tea
08-02-2025,08-02-2025 14:28,cash,15,Tea
08-02-2025,08-02-2025 14:33,card,20,Espresso
08-02-2025,08-02-2025 15:51,card,30,Chocolate with coffee
08-02-2025,08-02-2025 16:35,cash,27,Chocolate with milk
08-02-2025,08-02-2025 18:55,card,33,Espresso
08-02-2025,08-02-2025 18:59,cash,29,Coffee with Irish whiskey
08-02-2025,08-02-2025 19:00,cash,27,Irish whiskey with milk
09-02-2025,09-02-2025 08:45,card,28,Double Irish whiskey
09-02-2025,09-02-2025 10:41,cash,30,Chocolate with coffee
09-02-2025,09-02-2025 10:42,cash,27,Double espresso
09-02-2025,09-02-2025 12:18,cash,25,Americano with milk
09-02-2025,09-02-2025 13:28,card,20,Espresso
09-02-2025,09-02-2025 15:16,card,30,Cappuccino
09-02-2025,09-02-2025 15:43,card,32,Double espresso with milk
09-02-2025,09-02-2025 16:14,card,28,Double Irish whiskey
09-02-2025,09-02-2025 16:23,card,28,Caramel with Irish whiskey
09-02-2025,09-02-2025 16:25,card,33,Latte
09-02-2025,09-02-2025 17:47,card,33,Latte
09-02-2025,09-02-2025 18:01,card,25,Americano with milk
09-02-2025,09-02-2025 18:01,card,33,Latte
09-02-2025,09-02-2025 18:01,card,15,Tea
09-02-2025,09-02-2025 18:02,card,28,Caramel with Irish whiskey
09-02-2025,09-02-2025 19:50,cash,29,Coffee with Irish whiskey
10-02-2025,10-02-2025 09:26,cash,25,Americano
10-02-2025,10-02-2025 12:26,cash,25,Americano
10-02-2025,10-02-2025 18:21,cash,27,Chocolate with milk
11-02-2025,11-02-2025 09:49,card,15,Tea
11-02-2025,11-02-2025 18:35,card,25,Americano
12-02-2025,12-02-2025 17:57,cash,27,Chocolate with milk
13-02-2025,13-02-2025 07:55,card,33,Latte
13-02-2025,13-02-2025 08:12,card,32,Double espresso with milk
13-02-2025,13-02-2025 08:47,card,30,Cappuccino
13-02-2025,13-02-2025 10:28,card,25,Americano with milk
14-02-2025,14-02-2025 12:33,card,20,Espresso
14-02-2025,14-02-2025 14:27,cash,20,Espresso
14-02-2025,14-02-2025 14:33,card,28,Double Irish whiskey
14-02-2025,14-02-2025 16:09,cash,20,Espresso
14-02-2025,14-02-2025 19:02,card,20,Espresso
14-02-2025,14-02-2025 19:24,cash,27,Chocolate with milk
14-02-2025,14-02-2025 19:30,card,29,Coffee with Irish whiskey
14-02-2025,14-02-2025 19:53,card,28,Super chocolate
14-02-2025,14-02-2025 19:54,card,28,Double Irish whiskey
15-02-2025,15-02-2025 09:38,card,25,Americano
15-02-2025,15-02-2025 11:10,card,27,Double vanilla
15-02-2025,15-02-2025 13:43,cash,30,Mochaccino
15-02-2025,15-02-2025 13:45,cash,27,Irish whiskey with milk
15-02-2025,15-02-2025 15:33,card,15,Tea
15-02-2025,15-02-2025 15:35,card,25,Americano with milk
15-02-2025,15-02-2025 15:48,card,25,Americano with milk
16-02-2025,16-02-2025 16:36,card,33,Latte
16-02-2025,16-02-2025 16:38,card,28,Caramel with chocolate
16-02-2025,16-02-2025 16:41,cash,25,Irish whiskey
16-02-2025,16-02-2025 16:41,cash,20,Double vanilla
16-02-2025,16-02-2025 19:30,card,33,Latte
16-02-2025,16-02-2025 23:01,card,29,Coffee with Irish whiskey
16-02-2025,16-02-2025 23:03,card,30,Cappuccino
16-02-2025,16-02-2025 23:04,card,28,Caramel coffee
17-02-2025,17-02-2025 07:58,card,20,Espresso
17-02-2025,17-02-2025 08:17,cash,30,Cappuccino
17-02-2025,17-02-2025 16:26,card,28,Caramel with Irish whiskey
17-02-2025,17-02-2025 16:57,cash,25,Americano with milk
17-02-2025,17-02-2025 17:00,cash,20,Espresso
17-02-2025,17-02-2025 17:52,card,30,Cappuccino
17-02-2025,17-02-2025 18:26,cash,29,Coffee with Irish whiskey
17-02-2025,17-02-2025 22:10,cash,25,Americano with milk
18-02-2025,18-02-2025 09:52,cash,28,Vanilla with Irish whiskey
18-02-2025,18-02-2025 10:14,card,25,Americano with milk
18-02-2025,18-02-2025 15:36,card,30,Cappuccino
18-02-2025,18-02-2025 15:42,card,25,Americano with milk
19-02-2025,19-02-2025 07:56,cash,25,Americano
19-02-2025,19-02-2025 10:38,card,25,Americano
19-02-2025,19-02-2025 12:05,cash,25,Americano with milk
19-02-2025,19-02-2025 12:20,card,20,Espresso
20-02-2025,20-02-2025 07:38,card,30,Cappuccino
20-02-2025,20-02-2025 08:04,cash,30,Mochaccino
20-02-2025,20-02-2025 08:57,card,29,Coffee with Irish whiskey
20-02-2025,20-02-2025 09:36,cash,25,Americano with milk
20-02-2025,20-02-2025 09:36,cash,20,Espresso
20-02-2025,20-02-2025 12:07,card,33,Latte
20-02-2025,20-02-2025 12:09,card,30,Cappuccino
20-02-2025,20-02-2025 13:20,card,25,Chocolate
20-02-2025,20-02-2025 17:06,card,25,Americano with milk
20-02-2025,20-02-2025 17:09,cash,25,Americano with milk
20-02-2025,20-02-2025 17:42,card,28,Double Irish whiskey
21-02-2025,21-02-2025 08:39,cash,25,Irish whiskey
21-02-2025,21-02-2025 09:20,card,30,Mochaccino
21-02-2025,21-02-2025 09:49,card,25,Irish whiskey
21-02-2025,21-02-2025 10:14,cash,25,Americano with milk
21-02-2025,21-02-2025 15:56,card,25,Americano with milk
21-02-2025,21-02-2025 16:13,card,28,Double Irish whiskey
21-02-2025,21-02-2025 16:44,cash,20,Espresso
21-02-2025,21-02-2025 17:12,card,33,Latte
21-02-2025,21-02-2025 18:43,cash,25,Americano with milk
21-02-2025,21-02-2025 18:45,card,33,Latte
21-02-2025,21-02-2025 18:55,cash,15,Tea
22-02-2025,22-02-2025 12:08,card,28,Caramel with chocolate
22-02-2025,22-02-2025 18:38,card,33,Latte
22-02-2025,22-02-2025 18:38,card,25,Americano with milk
22-02-2025,22-02-2025 19:05,card,29,Coffee with Irish whiskey
23-02-2025,23-02-2025 11:04,card,28,Double Irish whiskey
23-02-2025,23-02-2025 15:09,card,25,Americano
23-02-2025,23-02-2025 15:19,card,25,Americano with milk
23-02-2025,23-02-2025 15:57,cash,28,Double Irish whiskey
24-02-2025,24-02-2025 13:23,card,15,Tea
24-02-2025,24-02-2025 18:32,card,28,Caramel with Irish whiskey
24-02-2025,24-02-2025 18:33,card,28,Caramel with Irish whiskey
24-02-2025,24-02-2025 20:15,card,25,Caramel with milk
25-02-2025,25-02-2025 21:41,card,29,Coffee with Irish whiskey
25-02-2025,25-02-2025 21:43,card,33,Latte
26-02-2025,26-02-2025 09:41,cash,25,Americano with milk
26-02-2025,26-02-2025 09:41,cash,25,Americano with milk
26-02-2025,26-02-2025 10:29,cash,25,Irish whiskey
26-02-2025,26-02-2025 11:31,card,33,Latte
26-02-2025,26-02-2025 11:36,card,27,Irish whiskey with milk
